Date;Open;High;Low;Close
2022-04-14;2109.37;2116.4;2088.7;2093.17
2022-04-19;2098.17;2103.49;2046.24;2068.52
2022-04-20;2076.95;2094.91;2047.81;2047.81
2022-04-21;2059.4;2068.7;2028.76;2028.76
2022-04-22;2028.28;2028.28;1973.31;1973.31
2022-04-25;1951.03;1966.8;1909.93;1919.55
2022-04-26;1938.86;1951.36;1894.28;1896.46
2022-04-27;1897.03;1898.84;1867.06;1883.09
2022-04-28;1903.66;1916.25;1872.1;1884.42
2022-04-29;1898.54;1915.32;1850.37;1858.12
2022-05-02;1854.26;1854.26;1816.5;1824.05
2022-05-04;1834.06;1836.87;1808.2;1812.56
2022-05-05;1832.6;1849.71;1765.85;1765.85
2022-05-06;1763.62;1765.14;1717.48;1765.14
2022-05-09;1757.77;1759.99;1724.48;1727.34
2022-05-10;1735.81;1748.73;1703.9;1719.24
2022-05-11;1728.7;1744.76;1710.15;1718.07
2022-05-12;1692.71;1713.59;1652.3;1691.62
2022-05-13;1709.53;1774.92;1709.53;1765.63
2022-05-16;1761.15;1796.3;1746.66;1762.22
2022-05-17;1777.41;1818.05;1769.03;1800.55
2022-05-18;1807.17;1827.63;1801.68;1801.68
2022-05-19;1780.36;1789.69;1753.51;1776.4
2022-05-20;1787.07;1806.82;1782.66;1782.66
2022-05-23;1798.11;1836.98;1798.11;1836.87
2022-05-24;1825.08;1844.86;1810.98;1810.98
2022-05-25;1823.39;1833.56;1789.67;1796.58
2022-05-26;1798.7;1832.27;1790.87;1827.01
2022-05-27;1827.36;1832.19;1800.31;1810.68
2022-05-30;1829.08;1859.2;1827.52;1858.6
2022-05-31;1859.04;1862.95;1837.62;1842.93
2022-06-01;1846.59;1846.59;1818.87;1822.57
2022-06-02;1825.19;1840.38;1814.5;1833.76
2022-06-03;1845.65;1851.34;1812.39;1819.99
2022-06-06;1827.04;1851.22;1821.82;1849.55
2022-06-07;1838.63;1838.63;1816.4;1828.57
2022-06-08;1827.61;1830.66;1783.21;1792.8
2022-06-09;1793.03;1800.65;1762.92;1767.5
2022-06-10;1761.24;1761.24;1720.39;1725.18
2022-06-13;1704.52;1707.25;1674.39;1681.75
2022-06-14;1692.92;1706.5;1680.68;1704.07
2022-06-15;1707.38;1711.95;1672.46;1707.11
2022-06-17;1682.3;1706.17;1665.88;1676.67
2022-06-20;1684.09;1695.98;1678.23;1679.89
2022-06-21;1689.11;1719.05;1689.11;1719.05
2022-06-22;1700.92;1700.92;1667.82;1680.61
2022-06-23;1678.01;1690.32;1653.8;1654.32
2022-06-24;1659.92;1686.33;1654.61;1682.33
2022-06-27;1691.89;1715.62;1690.74;1713.18
2022-06-28;1722.58;1744.91;1722.58;1739.08
2022-06-29;1726.38;1738.6;1711.84;1733.19
2022-06-30;1720.32;1720.32;1689.04;1695.97
2022-07-01;1690.71;1717.96;1686.98;1688.85
2022-07-04;1695.14;1702.4;1665.59;1693.1
2022-07-05;1701.53;1706.1;1634.5;1644.46
2022-07-06;1649.5;1668.17;1629.79;1654.84
2022-07-07;1664.01;1716.56;1664.01;1708.8
2022-07-08;1707.55;1742.95;1698.13;1740.46
2022-07-11;1713.21;1725.66;1700.85;1714.56
2022-07-12;1707.7;1707.7;1663.05;1663.46
2022-07-13;1663.76;1678.86;1643.36;1655.65
2022-07-14;1655.76;1660.85;1601.32;1613.98
2022-07-15;1618.23;1634.31;1607.84;1620.13
2022-07-18;1632.83;1670.33;1632.83;1669.48
2022-07-19;1664.93;1681.28;1648.39;1679.27
2022-07-20;1688.47;1701.91;1678.74;1694.58
2022-07-21;1697.09;1702.4;1665.34;1683.09
2022-07-22;1677.44;1710.51;1677.44;1701.73
2022-07-25;1699.55;1708.72;1682.95;1685.62
2022-07-26;1677.62;1683.51;1646.3;1654.7
2022-07-27;1658.09;1670.03;1632.23;1651.89
2022-07-28;1661.43;1679.66;1652.86;1667.17
2022-07-29;1674.05;1721.11;1674.05;1721.11
2022-08-01;1723.75;1736.47;1714.65;1736.47
2022-08-02;1728.07;1728.48;1709.85;1713.61
2022-08-03;1702.13;1702.32;1679.92;1688.03
2022-08-04;1690.68;1697.16;1666.85;1674.37
2022-08-05;1685.3;1696.43;1643.02;1652.14
2022-08-08;1660.93;1695.78;1652.97;1695.78
2022-08-09;1695.54;1706.57;1682.49;1684.14
2022-08-10;1683.41;1702.17;1661.42;1694.11
2022-08-11;1705.23;1724.98;1690.24;1724.98
2022-08-12;1721.18;1737.25;1716.38;1735.07
2022-08-16;1739.62;1763.25;1730.05;1735
2022-08-17;1736.13;1736.8;1679.71;1682.93
2022-08-18;1683.89;1703.78;1672.48;1699.68
2022-08-19;1685.24;1698.82;1668.62;1673.4
2022-08-22;1669.2;1670.29;1630;1640.02
2022-08-23;1638.03;1667.41;1630.67;1656.77
2022-08-24;1655.38;1655.38;1616.14;1620.63
2022-08-25;1633.09;1650.7;1622.55;1632
2022-08-26;1635.66;1637.07;1596.06;1602.81
2022-08-29;1585.54;1585.54;1552.6;1573.35
2022-08-30;1578.24;1583.57;1532.85;1535.11
2022-08-31;1540.93;1548.25;1513.5;1528.22
2022-09-01;1522.52;1522.52;1462.59;1462.59
2022-09-02;1477.24;1506.54;1464.67;1505.75
2022-09-05;1496.88;1505.05;1482.29;1492.06
2022-09-06;1495.62;1504.64;1444.84;1452.86
2022-09-07;1445.54;1471.34;1431.36;1469.42
2022-09-08;1481.93;1494.98;1460.43;1473.18
2022-09-09;1487.5;1534.68;1487.5;1534.68
2022-09-12;1545.64;1561.98;1519.71;1561.97
2022-09-13;1569.03;1573.05;1515.19;1519.35
2022-09-14;1511.59;1531.76;1507.2;1528.29
2022-09-15;1533.17;1550.8;1523.79;1539.75
2022-09-16;1526.02;1529.2;1487.36;1501.91
2022-09-19;1498.57;1528.7;1496.79;1527.25
2022-09-20;1532.86;1546.5;1497.41;1497.41
2022-09-21;1495.76;1515.86;1488.25;1509.32
2022-09-22;1498.1;1526.89;1485.31;1518.19
2022-09-23;1518.03;1518.03;1453.76;1457.78
2022-09-26;1446.43;1450.7;1410.71;1433.08
2022-09-27;1443.23;1473.21;1443.23;1458.81
2022-09-28;1434.99;1440.66;1407.56;1435.37
2022-09-29;1446.35;1446.35;1375.19;1380.1
2022-09-30;1390.12;1396.76;1366.25;1377.91
2022-10-03;1379.8;1388.96;1344.02;1386.96
2022-10-04;1404.22;1449.81;1404.22;1449.81
2022-10-05;1449.73;1449.73;1418.03;1419.12
2022-10-06;1431.68;1449.55;1409.32;1417.82
2022-10-07;1414.41;1420.33;1398.86;1405.21
2022-10-10;1400.27;1400.29;1379.35;1379.49
2022-10-11;1377.66;1405.98;1360.7;1381.84
2022-10-12;1389.02;1391.14;1369.65;1377.19
2022-10-13;1378.57;1381.48;1337.71;1358.5
2022-10-14;1383.1;1409.55;1381.49;1397.23
2022-10-17;1400.06;1418.65;1384.6;1414.06
2022-10-18;1416.66;1440.9;1414.9;1427.68
2022-10-19;1430.17;1430.17;1395.73;1397.66
2022-10-20;1399.59;1429.16;1385.16;1426.52
2022-10-21;1421.96;1424.9;1397.28;1411.62
2022-10-24;1421.4;1445.85;1411.21;1433.21
2022-10-25;1438.79;1450.33;1422.44;1444.02
2022-10-26;1447.28;1487.6;1443.41;1487.6
2022-10-27;1489.37;1506.74;1474.43;1506.74
2022-10-28;1498.03;1516.82;1481.23;1508.7
2022-10-31;1511.96;1536.28;1506.41;1536.28
2022-11-02;1545.19;1573.97;1545.19;1573.97
2022-11-03;1553.61;1559.97;1538.04;1559.55
2022-11-04;1569.01;1612.09;1569.01;1601.27
2022-11-07;1605.03;1637.37;1600.71;1618.14
2022-11-08;1616.98;1644.75;1602.48;1644.75
2022-11-09;1643.42;1658.52;1638.45;1644.12
2022-11-10;1637.91;1692.72;1619.03;1690.38
2022-11-14;1697.88;1759.79;1697.88;1743.89
2022-11-15;1750.6;1784.76;1728.17;1769.55
2022-11-16;1747.81;1761.51;1731.46;1741.17
2022-11-17;1744.07;1750.96;1695.8;1708.23
2022-11-18;1709.68;1726.63;1689.34;1707.23
2022-11-21;1706.43;1706.47;1683.15;1685.5
2022-11-22;1687.07;1729.95;1681.78;1717.75
2022-11-23;1724.5;1737.75;1707.01;1713.61
2022-11-24;1724.66;1753.95;1721.85;1753.95
2022-11-25;1752.36;1764.57;1736.75;1755.69
2022-11-28;1748.68;1748.84;1728.74;1728.74
2022-11-29;1740.55;1744.71;1718.31;1736.19
2022-11-30;1741.22;1756.95;1727.88;1736.26
2022-12-01;1754.83;1766.38;1741.13;1766.38
2022-12-02;1765.02;1765.02;1730.43;1733.46
2022-12-05;1738.95;1766.04;1738.95;1746.54
2022-12-06;1741.86;1741.86;1722.72;1733.59
2022-12-07;1730.5;1739.05;1720.19;1735.66
2022-12-08;1735.17;1735.41;1715.72;1725.66
2022-12-09;1730.18;1735.76;1717;1730.16
2022-12-12;1729.82;1759.39;1714.22;1755.34
2022-12-13;1758.54;1803.6;1742.11;1784.67
2022-12-14;1785.11;1793.02;1778.37;1787.37
2022-12-15;1778.9;1778.9;1746.02;1756.52
2022-12-16;1746.54;1755.89;1726.58;1741.3
2022-12-19;1739.9;1754.27;1737.5;1743.24
2022-12-20;1732.8;1763.2;1724.41;1763.2
2022-12-21;1761.88;1786.56;1754.46;1786.1
